title,quality_score,quality_category
Miranda Kerr on Having a Baby with Snapchat's Evan Spiegel,0.9150865622423743,A
Red Sparrow | Official Trailer [HD] | 20th Century FOX,0.9137849360492658,A
Meet the Parents Cold Open - SNL,0.9128708733806937,A
Khloe Kardashian Confirms Pregnancy & Reveals Baby Bump | Hollywoodlife,0.9111494914603723,A
Pen Circle Traps Ant (But How?),0.9097932707520304,A
Bearded Men Try Going Clean-Shaven,0.9087257617728531,A
"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",0.9083908656399363,A
Funniest One Chip Challenge Ever (World's Hottest Chip),0.9081272084805654,A
A Reality Show 'Stole' A Crappy Scene From Constance Zimmer's 'UnREAL',0.9050736497545008,A
Phantom AI L2 ADAS feature accident,0.9016393442622951,A
Solo: A Star Wars Story Official Trailer,0.9001103697386243,A
Cardi B Sued for $10 Million,0.8987780412183112,B
5-a-side Scissor Kick,0.8977058627950792,B
Omarosa Manigault Talks White House Exit | The View,0.89738430583501,B
First Look at Nintendo Labo,0.8943409687751416,B
Mother Knows Best - SNL,0.8913917029826249,B
"Breaking down 'This Is America,' Childish Gambino's chilling new video",0.8842300392814583,B
"Hear what Nick Saban, Tua Tagovailoa, & Da'Ron Payne said following Alabama's epic win over Georgia",0.8821446636317652,B
JUSTICE LEAGUE A Box Office Disaster - Box Office Report,0.872219053051911,B
"No Country For Pregnant Women | January 10, 2018 Act 2 | Full Frontal on TBS",0.8712518347661984,B
WHY I TALK LIKE A BABY,0.8693718732629239,B
What Happens If You Fill Up a Car with Coca-Cola?,0.8645288976850719,B
Adam Rippon Competes in the Olympics of Eating Spicy Wings | Hot Ones,0.8617933080599967,B
Summit of Hawaii's Kilauea volcano erupts,0.8536333074734936,B
2018 Winter Olympics Recap Part 1 I Day 1 I NBC Sports,0.8488493723849372,B
7th-grader shoots himself at Jackson Memorial Middle School in Stark County,0.8451290591174022,B
Kid Rock - American Rock 'n Roll (Official Video),0.8409748038000826,B
Remy Ma - Wake Me Up (Audio) ft. Lil' Kim,0.8399495742108106,B
What's inside a Microwave Popcorn Bag?,0.8328624404026135,B
Jimmy Kimmel's Oscars Monologue 2018,0.8311156027174218,B
BEIRUT | Official Trailer,0.8191489361702128,B
Oprah Winfrey - 2018 Golden Globes - Full Backstage Speech,0.813953488372093,B
Mase - The Oracle (Cam'Ron Diss),0.8110289172831204,B
Cardi B Confirms Pregnancy,0.8091815062898219,B
SLENDER MAN - Official Trailer (HD),0.803648693099871,B
Sen. Booker on language used by Commander-in-cheif (C-SPAN),0.7976078799249531,C
2018 Winter Olympics Recap Day 3 I Part 1 (Jamie Anderson/Adam Rippon) I NBC Sports,0.781410974244121,C
Stephen Goes Live After Trump's State Of The Union,0.7705969161874714,C
Portland-bound Amtrak train derails in Washington; at least 6 reported dead,0.7644404332129964,C
Kylie Jenner Pregnancy Reveal On Keeping Up With The Kardashians,0.7544910179640718,C
EXTREME GOLDEN TAN TRANSFORMATION,0.7512469979678552,C
Budweiser - Original Whazzup? ad,0.7512274959083469,C
Derailed Amtrak train dangles over highway in Washington,0.7383100902379,C
OCEAN'S 8 - Official 1st Trailer,0.702118744675205,C
"Russian Bots and Trolls | November 8, 2017 Act 2 | Full Frontal on TBS",0.7002925836407582,C
Star Wars: The Last Jedi | Becoming Rose,0.6852630382911032,D
OCEAN'S 8 - Official Main Trailer,0.6677298004579654,D
Live coverage and analysis of the March for Our Lives,0.6581164922678026,D
Plane crashes in Iran with dozens on board,0.6466729147141518,D
Kellyanne Conway: Nobody here talks about Clinton,0.6122177954847278,D
"Sen. Kirsten Gillibrand Talks Allegations Against Steve Wynn, Calling For Al Franken To Step Down",0.5935960591133005,E
Watch live: CIA nominee Gina Haspel testifies in Senate hearing,0.5651741293532339,E
Tonya Harding Cuts Interview Short | The View,0.546337817638266,E
Natalie Portman speaks at Women's March,0.5340417158598977,E
World's first self-driving shuttle crashes on first day of use,0.49137931034482757,E
Grammys 2018: Hillary Clinton surprises crowd to read Fire and Fury,0.1907664284713465,E
